Accident_ID,City,Condition,Severity,Day_of_Week,Hour,Injuries,Fatalities
54,Phoenix,Rain,2,Thursday,19,3,0
55,Chicago,Thunderstorm,1,Wednesday,7,1,0
56,New York,Rain,2,Tuesday,8,3,0
57,Houston,Clear,3,Saturday,12,3,0
58,Los Angeles,Rain,2,Wednesday,19,2,1
59,Houston,Fog,2,Saturday,16,3,0
60,Los Angeles,Snow,2,Saturday,18,1,0
61,Los Angeles,Rain,3,Saturday,16,1,0
62,Houston,Snow,2,Wednesday,6,3,0
63,Phoenix,Clear,3,Monday,0,2,0
64,Los Angeles,Thunderstorm,3,Thursday,19,3,0
65,Los Angeles,Thunderstorm,2,Monday,13,3,0
66,Houston,Snow,1,Tuesday,16,1,0
67,Los Angeles,Thunderstorm,2,Wednesday,12,0,0
68,Los Angeles,Rain,3,Tuesday,1,3,0
69,Houston,Snow,1,Thursday,13,1,0
70,Houston,Fog,2,Thursday,0,1,0
71,New York,Rain,3,Friday,4,1,0
72,Phoenix,Rain,1,Tuesday,6,1,0
73,Phoenix,Rain,2,Monday,18,3,0
74,Los Angeles,Fog,1,Sunday,13,1,0
75,Phoenix,Clear,1,Tuesday,23,3,0
76,Los Angeles,Thunderstorm,3,Wednesday,13,6,0
77,New York,Snow,1,Thursday,14,0,0
78,Houston,Clear,1,Thursday,4,3,0
79,Houston,Snow,3,Tuesday,4,2,0
80,Houston,Thunderstorm,1,Tuesday,20,1,0
81,Phoenix,Fog,4,Saturday,23,3,0
82,New York,Rain,4,Tuesday,1,1,0
83,Phoenix,Rain,1,Saturday,17,0,1
84,Phoenix,Fog,1,Wednesday,23,1,0
85,New York,Clear,3,Wednesday,8,6,0
86,New York,Clear,2,Monday,9,1,0
87,New York,Snow,1,Tuesday,17,4,0
88,New York,Fog,3,Monday,3,4,0
89,Houston,Clear,1,Sunday,7,1,0
90,Chicago,Fog,3,Friday,17,2,0
91,Chicago,Thunderstorm,1,Wednesday,19,3,0
92,New York,Rain,1,Thursday,16,1,0
93,Chicago,Rain,1,Saturday,15,3,0
94,Chicago,Rain,4,Friday,17,3,0
95,New York,Fog,2,Thursday,6,3,0
96,Chicago,Fog,3,Friday,0,1,0
97,Phoenix,Snow,1,Monday,0,3,0
98,Los Angeles,Rain,1,Monday,17,4,0
99,Los Angeles,Snow,1,Saturday,3,3,0
100,New York,Rain,2,Wednesday,22,0,0
101,Houston,Snow,2,Sunday,19,5,0
102,New York,Snow,2,Saturday,20,2,0
103,Houston,Thunderstorm,1,Sunday,19,2,1
104,Los Angeles,Snow,4,Thursday,3,1,0
105,New York,Fog,1,Friday,5,0,0
106,Phoenix,Snow,4,Saturday,2,3,0
107,Chicago,Rain,1,Sunday,5,2,0
108,Houston,Snow,2,Tuesday,12,2,0
109,Chicago,Clear,1,Tuesday,22,4,0
110,Chicago,Rain,2,Wednesday,6,4,0
111,New York,Clear,2,Sunday,23,1,0
112,Chicago,Rain,2,Saturday,3,1,0
113,Phoenix,Fog,2,Thursday,0,1,0
114,Chicago,Fog,3,Tuesday,5,0,0
115,New York,Fog,2,Wednesday,23,2,1
116,Phoenix,Clear,3,Saturday,4,2,0
117,Los Angeles,Thunderstorm,1,Wednesday,12,2,0
118,Chicago,Rain,2,Thursday,18,0,0
119,New York,Fog,2,Tuesday,3,5,0
120,Los Angeles,Rain,1,Tuesday,23,0,0
121,Los Angeles,Clear,2,Tuesday,5,3,0
122,Houston,Thunderstorm,1,Sunday,12,0,0
123,Phoenix,Clear,1,Monday,4,1,0
124,Chicago,Rain,1,Sunday,12,0,0
125,New York,Thunderstorm,1,Tuesday,9,2,0
126,Houston,Thunderstorm,2,Friday,2,0,0
127,Phoenix,Clear,2,Monday,22,1,0
128,Houston,Fog,4,Saturday,12,0,0
129,Phoenix,Rain,3,Sunday,11,1,0
130,Phoenix,Snow,1,Monday,3,1,0
131,Chicago,Snow,3,Monday,9,3,0
132,Phoenix,Clear,3,Sunday,2,4,0
133,Houston,Rain,2,Sunday,16,4,0
134,Phoenix,Rain,2,Monday,8,1,0
135,Chicago,Clear,4,Wednesday,0,3,0
136,Chicago,Rain,2,Friday,17,3,0
137,Houston,Fog,4,Thursday,8,1,0
138,Los Angeles,Clear,1,Tuesday,20,0,0
139,Los Angeles,Fog,1,Sunday,19,0,0
140,Phoenix,Rain,2,Monday,8,1,0
141,New York,Clear,2,Thursday,1,0,0
142,Phoenix,Rain,3,Sunday,18,2,0
143,Houston,Clear,4,Wednesday,15,2,0
144,Houston,Rain,1,Thursday,2,2,0
145,Houston,Fog,1,Monday,15,3,0
146,Houston,Fog,3,Saturday,20,2,0
147,Houston,Rain,2,Friday,12,1,0
148,Chicago,Clear,1,Thursday,2,4,0
149,Los Angeles,Snow,2,Sunday,9,3,1
150,Houston,Fog,3,Monday,21,0,0
151,New York,Fog,3,Sunday,17,3,0
152,New York,Snow,2,Monday,5,2,0
153,New York,Rain,1,Tuesday,5,1,0
154,New York,Clear,4,Saturday,17,1,0
155,Chicago,Rain,2,Tuesday,5,2,0
156,New York,Thunderstorm,2,Saturday,5,2,0
157,Houston,Fog,1,Friday,21,5,0
158,Phoenix,Thunderstorm,3,Tuesday,12,2,0
159,New York,Fog,1,Friday,13,3,0
160,Chicago,Fog,1,Sunday,20,1,0
161,Chicago,Thunderstorm,2,Wednesday,6,4,0
162,New York,Thunderstorm,1,Wednesday,12,3,0
163,Phoenix,Rain,2,Saturday,14,3,0
164,New York,Thunderstorm,1,Saturday,11,1,0
165,Chicago,Rain,2,Tuesday,20,3,0
166,Los Angeles,Rain,1,Wednesday,0,3,0
167,Houston,Rain,1,Thursday,2,2,0
168,Chicago,Fog,1,Thursday,17,0,0
169,New York,Fog,4,Sunday,21,1,0
170,Houston,Thunderstorm,3,Thursday,7,1,0
171,New York,Fog,1,Sunday,1,1,0
172,New York,Thunderstorm,3,Wednesday,3,0,0
173,Los Angeles,Fog,2,Thursday,17,0,0
174,Houston,Clear,4,Friday,12,1,0
175,Houston,Clear,1,Monday,14,0,0
176,Los Angeles,Thunderstorm,2,Saturday,1,1,0
177,Chicago,Fog,1,Tuesday,9,3,0
178,New York,Fog,1,Sunday,1,5,0
179,Phoenix,Rain,4,Friday,20,4,1
180,New York,Snow,2,Thursday,11,2,0
181,New York,Thunderstorm,1,Monday,4,2,0
182,Chicago,Snow,1,Tuesday,11,2,0
183,New York,Snow,3,Friday,22,4,0
184,Los Angeles,Thunderstorm,2,Tuesday,0,3,0
185,Los Angeles,Fog,1,Sunday,1,2,0
186,Houston,Thunderstorm,4,Sunday,15,3,0
187,Phoenix,Snow,1,Saturday,21,2,0
188,New York,Fog,1,Wednesday,1,2,0
189,New York,Clear,4,Sunday,15,3,0
190,Chicago,Thunderstorm,1,Thursday,19,2,0
191,Los Angeles,Thunderstorm,1,Friday,15,2,0
192,Phoenix,Fog,2,Friday,5,1,0
193,Houston,Clear,3,Monday,12,1,1
194,Los Angeles,Clear,1,Monday,11,2,0
195,Houston,Fog,4,Monday,22,0,0
196,Chicago,Rain,3,Tuesday,9,0,0
197,Chicago,Thunderstorm,1,Thursday,4,1,1
198,New York,Thunderstorm,3,Tuesday,7,2,0
199,Phoenix,Snow,1,Thursday,5,0,0
200,Houston,Fog,2,Friday,4,3,0
201,Los Angeles,Snow,3,Sunday,19,1,0
202,Chicago,Snow,4,Sunday,21,2,0
203,New York,Clear,1,Tuesday,5,1,0
204,New York,Thunderstorm,2,Tuesday,21,1,0
205,Houston,Snow,2,Tuesday,16,1,0
206,Chicago,Clear,1,Wednesday,5,0,0
207,Phoenix,Fog,1,Saturday,16,2,0
208,Chicago,Snow,1,Thursday,4,2,0
209,Houston,Thunderstorm,2,Sunday,22,2,0
210,Houston,Snow,2,Thursday,16,4,1
211,Chicago,Fog,1,Tuesday,16,1,0
212,Houston,Snow,3,Wednesday,12,4,0
213,Chicago,Thunderstorm,3,Tuesday,21,1,0
214,Los Angeles,Clear,2,Thursday,6,4,0
215,Chicago,Thunderstorm,1,Saturday,21,1,0
216,Chicago,Clear,2,Sunday,20,1,0
217,Houston,Rain,1,Saturday,5,2,0
218,Houston,Thunderstorm,1,Friday,13,3,0
219,New York,Thunderstorm,3,Wednesday,15,0,0
220,New York,Fog,1,Saturday,2,1,0
221,Los Angeles,Snow,1,Wednesday,8,2,0
222,New York,Clear,1,Tuesday,14,1,0
223,Chicago,Clear,1,Friday,20,2,0
224,Houston,Fog,1,Thursday,17,1,0
225,New York,Fog,4,Saturday,9,3,0
226,New York,Snow,1,Saturday,9,2,0
227,Los Angeles,Snow,1,Monday,22,1,0
228,Los Angeles,Thunderstorm,1,Sunday,2,4,0
229,Chicago,Rain,4,Thursday,0,0,0
230,Houston,Snow,2,Saturday,2,1,0
231,Los Angeles,Fog,1,Saturday,4,3,0
232,New York,Snow,3,Thursday,6,2,0
233,Houston,Clear,1,Friday,2,3,0
234,Houston,Rain,1,Wednesday,3,2,0
235,New York,Thunderstorm,1,Thursday,16,0,0
236,Los Angeles,Clear,1,Wednesday,2,1,0
237,New York,Clear,1,Friday,22,2,0
238,Houston,Rain,2,Friday,3,1,0
239,Phoenix,Thunderstorm,1,Tuesday,1,5,0
240,Phoenix,Fog,2,Monday,13,0,0
241,Chicago,Thunderstorm,1,Friday,4,0,0
242,New York,Snow,1,Friday,20,4,0
243,New York,Clear,2,Wednesday,1,1,0
244,Chicago,Snow,4,Friday,14,0,0
245,Chicago,Fog,1,Thursday,10,4,0
246,Chicago,Snow,2,Tuesday,21,1,0
247,Houston,Thunderstorm,1,Tuesday,9,3,0
248,New York,Snow,1,Thursday,19,2,0
249,Houston,Fog,1,Saturday,0,1,0
250,Chicago,Fog,1,Friday,18,3,1
251,New York,Fog,1,Sunday,13,0,1
252,Houston,Thunderstorm,1,Monday,22,2,0
253,Houston,Fog,3,Friday,21,1,0
254,Chicago,Clear,1,Tuesday,13,4,0
255,New York,Fog,2,Monday,0,1,0
256,Chicago,Snow,1,Sunday,8,2,0
257,New York,Snow,2,Saturday,16,1,0
258,Phoenix,Snow,2,Wednesday,13,1,0
259,Los Angeles,Thunderstorm,1,Wednesday,12,2,0
260,Los Angeles,Snow,1,Sunday,12,1,0
261,Los Angeles,Thunderstorm,3,Friday,5,1,0
262,Chicago,Thunderstorm,3,Friday,6,4,0
263,Phoenix,Fog,1,Monday,1,2,0
264,New York,Clear,1,Monday,7,1,0
265,Houston,Fog,3,Saturday,23,4,0
266,New York,Fog,1,Friday,5,2,0
267,Houston,Thunderstorm,2,Tuesday,2,2,0
268,New York,Thunderstorm,1,Wednesday,17,0,0
269,Phoenix,Snow,1,Saturday,17,2,0
270,Houston,Snow,2,Monday,21,1,0
271,Chicago,Fog,2,Tuesday,22,2,1
272,New York,Rain,1,Friday,5,4,0
273,New York,Rain,2,Thursday,10,2,0
274,Houston,Snow,3,Monday,2,0,0
275,Chicago,Rain,2,Saturday,15,0,0
276,Chicago,Snow,1,Thursday,4,3,0
277,Phoenix,Thunderstorm,2,Tuesday,23,0,0
278,Chicago,Fog,3,Sunday,21,2,0
279,Chicago,Clear,3,Wednesday,1,2,0
280,Chicago,Fog,2,Sunday,14,3,0
281,Los Angeles,Snow,1,Sunday,15,1,0
282,Phoenix,Snow,3,Sunday,6,2,0
283,New York,Fog,2,Tuesday,15,5,0
284,Houston,Snow,1,Wednesday,23,2,1
285,New York,Rain,2,Tuesday,3,1,0
286,Phoenix,Rain,1,Sunday,15,0,0
287,Houston,Snow,2,Monday,16,2,0
288,Phoenix,Snow,1,Sunday,1,0,0
289,Chicago,Rain,2,Monday,15,3,0
290,Houston,Snow,4,Saturday,3,0,0
291,Chicago,Snow,3,Sunday,6,4,0
292,New York,Fog,4,Thursday,17,2,0
293,New York,Clear,4,Tuesday,5,0,0
294,Houston,Rain,1,Sunday,17,3,0
295,Houston,Fog,2,Tuesday,6,1,0
296,Phoenix,Clear,2,Sunday,1,5,0
297,Phoenix,Snow,3,Thursday,18,1,0
298,Chicago,Snow,1,Sunday,8,1,0
299,Houston,Fog,4,Friday,3,2,0
300,New York,Snow,2,Saturday,13,1,0
301,Phoenix,Thunderstorm,3,Tuesday,4,2,0
302,Phoenix,Fog,1,Saturday,6,2,0
303,New York,Clear,1,Tuesday,7,2,0
304,Phoenix,Fog,3,Tuesday,14,2,0
305,Chicago,Rain,1,Friday,18,2,0
306,Houston,Fog,3,Sunday,10,9,0
307,New York,Snow,1,Monday,19,2,0
308,Houston,Snow,2,Saturday,22,1,0
309,Phoenix,Thunderstorm,1,Thursday,3,3,0
310,Phoenix,Thunderstorm,2,Saturday,17,0,0
311,New York,Thunderstorm,2,Sunday,13,3,0
312,Chicago,Clear,1,Friday,5,2,0
313,Los Angeles,Thunderstorm,1,Wednesday,15,1,0
314,New York,Clear,1,Wednesday,17,2,0
315,Los Angeles,Thunderstorm,2,Friday,0,3,0
316,Los Angeles,Clear,2,Sunday,7,1,0
317,Chicago,Fog,3,Friday,0,1,0
318,Los Angeles,Fog,2,Monday,0,3,0
319,Los Angeles,Snow,2,Saturday,18,1,0
320,Chicago,Clear,1,Sunday,20,1,0
321,Los Angeles,Rain,1,Saturday,9,2,0
322,Los Angeles,Snow,1,Wednesday,17,4,1
323,Los Angeles,Fog,4,Sunday,11,5,0
324,New York,Clear,3,Thursday,16,0,0
325,New York,Thunderstorm,1,Saturday,0,2,0
326,New York,Rain,2,Tuesday,7,1,0
327,Chicago,Fog,3,Tuesday,9,5,0
328,Phoenix,Snow,2,Monday,9,3,0
329,Los Angeles,Clear,1,Sunday,17,4,1
330,Los Angeles,Rain,1,Monday,8,3,0
331,Chicago,Clear,2,Sunday,1,8,0
332,Los Angeles,Thunderstorm,4,Wednesday,2,2,0
333,New York,Snow,2,Thursday,1,3,0
334,Phoenix,Clear,1,Thursday,5,2,0
335,Houston,Fog,1,Friday,22,6,0
336,Los Angeles,Snow,3,Monday,11,2,0
337,New York,Fog,3,Sunday,21,2,0
338,Houston,Clear,2,Saturday,18,1,0
339,Phoenix,Snow,2,Tuesday,14,3,0
340,Houston,Fog,1,Saturday,18,2,0
341,New York,Thunderstorm,3,Tuesday,11,2,0
342,Houston,Thunderstorm,3,Wednesday,17,3,0
343,Chicago,Clear,1,Tuesday,15,3,0
344,Houston,Snow,3,Saturday,1,3,0
345,Los Angeles,Rain,1,Saturday,10,1,0
346,Los Angeles,Snow,1,Thursday,11,3,0
347,Chicago,Thunderstorm,1,Sunday,4,6,0
348,New York,Fog,1,Thursday,23,3,1
349,Los Angeles,Rain,1,Monday,5,1,0
350,Phoenix,Clear,2,Saturday,10,1,0
351,Los Angeles,Rain,2,Sunday,20,2,0
352,Los Angeles,Clear,2,Wednesday,9,1,0
353,New York,Rain,1,Tuesday,3,1,1
354,Houston,Clear,1,Monday,8,0,0
355,Los Angeles,Clear,2,Friday,11,1,0
356,Chicago,Rain,1,Friday,9,3,0
357,Houston,Rain,1,Sunday,13,2,0
358,Phoenix,Clear,3,Tuesday,4,3,0
359,New York,Thunderstorm,3,Tuesday,0,3,0
360,Phoenix,Rain,3,Sunday,4,2,0
361,Houston,Snow,2,Tuesday,15,1,0
362,Houston,Fog,1,Thursday,4,1,1
363,Houston,Clear,2,Tuesday,4,2,0
364,Phoenix,Clear,1,Friday,17,0,0
365,Houston,Fog,2,Tuesday,5,2,0
366,Phoenix,Thunderstorm,1,Saturday,20,3,0
367,Houston,Fog,3,Sunday,17,3,0
368,Chicago,Rain,1,Wednesday,9,5,0
369,Houston,Fog,4,Friday,14,2,0
370,Phoenix,Clear,3,Wednesday,23,2,0
371,Los Angeles,Fog,2,Friday,21,1,0
372,Houston,Snow,3,Monday,10,1,0
373,Los Angeles,Rain,2,Saturday,18,0,0
374,Chicago,Fog,3,Friday,12,3,0
375,New York,Clear,2,Saturday,19,5,1
376,Chicago,Rain,3,Friday,2,0,0
377,Houston,Clear,2,Wednesday,15,4,0
378,Los Angeles,Thunderstorm,4,Wednesday,6,3,0
379,Los Angeles,Snow,2,Sunday,11,1,0
380,Phoenix,Thunderstorm,2,Friday,14,0,0
381,Los Angeles,Snow,3,Friday,7,5,0
382,Phoenix,Fog,3,Thursday,22,4,0
383,New York,Rain,2,Saturday,16,2,0
384,Houston,Fog,1,Saturday,0,3,0
385,Phoenix,Snow,2,Saturday,20,2,0
386,New York,Snow,4,Saturday,7,3,0
387,Los Angeles,Snow,3,Monday,13,2,1
388,Los Angeles,Clear,3,Monday,9,2,0
389,New York,Rain,1,Tuesday,18,3,0
390,Los Angeles,Fog,2,Friday,7,2,0
391,New York,Fog,2,Friday,18,1,0
392,Phoenix,Thunderstorm,3,Friday,3,2,0
393,Phoenix,Snow,1,Friday,9,1,0
394,New York,Snow,3,Saturday,22,1,0
395,Phoenix,Snow,2,Saturday,2,1,0
396,Phoenix,Fog,1,Monday,3,2,0
397,Phoenix,Thunderstorm,1,Wednesday,15,2,0
398,Chicago,Clear,1,Thursday,23,1,0
399,Houston,Rain,2,Saturday,3,2,0
400,Los Angeles,Clear,1,Saturday,19,3,0
401,Chicago,Fog,1,Sunday,19,3,0
402,Phoenix,Snow,3,Saturday,12,0,0
403,New York,Rain,1,Wednesday,20,2,0
404,Phoenix,Fog,1,Wednesday,16,0,0
405,Houston,Fog,2,Monday,22,2,0
406,Phoenix,Fog,2,Saturday,15,1,0
407,New York,Rain,3,Sunday,16,1,0
408,Houston,Rain,2,Thursday,5,2,0
409,Phoenix,Thunderstorm,3,Friday,2,0,1
410,Houston,Thunderstorm,2,Saturday,19,1,1
411,Los Angeles,Clear,1,Monday,23,3,0
412,Los Angeles,Rain,1,Monday,3,2,0
413,Phoenix,Rain,2,Thursday,7,3,0
414,Houston,Rain,1,Sunday,19,2,0
415,New York,Thunderstorm,3,Tuesday,8,3,0
416,Phoenix,Fog,2,Monday,21,1,0
417,Los Angeles,Snow,1,Wednesday,0,0,0
418,Los Angeles,Thunderstorm,1,Wednesday,12,2,0
419,Phoenix,Rain,1,Friday,1,2,0
420,Houston,Thunderstorm,2,Monday,22,2,0
421,Los Angeles,Clear,2,Sunday,9,2,0
422,Houston,Rain,2,Friday,22,3,0
423,Los Angeles,Clear,1,Monday,18,3,0
424,Los Angeles,Rain,2,Thursday,16,3,0
425,Chicago,Thunderstorm,3,Saturday,23,2,0
426,Los Angeles,Fog,1,Sunday,12,2,0
427,New York,Snow,2,Monday,13,2,0
428,Phoenix,Clear,4,Sunday,10,1,0
429,Phoenix,Thunderstorm,1,Tuesday,9,2,0
430,Houston,Fog,2,Sunday,6,1,0
431,Los Angeles,Thunderstorm,1,Sunday,9,2,0
432,New York,Clear,2,Wednesday,23,1,0
433,Houston,Snow,1,Thursday,0,4,0
434,Chicago,Thunderstorm,4,Saturday,13,3,0
435,Houston,Rain,3,Saturday,2,5,0
436,Houston,Fog,3,Wednesday,12,2,0
437,Los Angeles,Thunderstorm,3,Sunday,1,4,0
438,Chicago,Fog,2,Saturday,16,3,0
439,Houston,Rain,2,Friday,20,2,0
440,New York,Snow,3,Thursday,2,0,0
441,New York,Snow,4,Tuesday,14,1,0
442,Phoenix,Rain,2,Wednesday,7,0,0
443,Chicago,Fog,4,Monday,5,0,1
444,Chicago,Thunderstorm,2,Monday,8,5,0
445,Phoenix,Rain,2,Monday,10,2,0
446,Houston,Clear,2,Thursday,21,5,0
447,Chicago,Fog,1,Tuesday,1,0,0
448,New York,Snow,1,Saturday,8,1,0
449,New York,Rain,1,Tuesday,17,3,0
450,Los Angeles,Snow,2,Tuesday,18,0,0
451,Chicago,Fog,1,Wednesday,21,2,0
452,Houston,Snow,2,Thursday,17,3,0
453,Phoenix,Rain,4,Monday,4,3,0
454,Phoenix,Fog,1,Wednesday,17,3,0
455,Houston,Clear,2,Saturday,11,3,0
456,Los Angeles,Rain,1,Tuesday,3,0,0
457,Phoenix,Thunderstorm,1,Sunday,14,1,0
458,Chicago,Rain,3,Monday,10,1,0
459,Los Angeles,Fog,2,Thursday,18,0,1
460,Chicago,Rain,3,Friday,4,2,0
461,New York,Clear,1,Tuesday,5,3,0
462,Los Angeles,Clear,2,Tuesday,12,1,0
463,Phoenix,Thunderstorm,1,Tuesday,22,2,0
464,Los Angeles,Snow,1,Tuesday,9,0,0
465,Los Angeles,Fog,1,Monday,23,3,0
466,Los Angeles,Fog,1,Thursday,13,2,0
467,Los Angeles,Snow,1,Wednesday,3,1,0
468,Chicago,Clear,1,Monday,19,3,0
469,New York,Clear,4,Thursday,22,1,0
470,Houston,Rain,1,Wednesday,11,2,0
471,Los Angeles,Thunderstorm,1,Tuesday,14,2,0
472,Phoenix,Thunderstorm,1,Thursday,9,1,0
473,Los Angeles,Thunderstorm,2,Tuesday,10,3,0
474,Phoenix,Rain,1,Sunday,8,0,0
475,Chicago,Thunderstorm,3,Thursday,10,2,0
476,Phoenix,Snow,4,Saturday,1,2,0
477,Houston,Rain,1,Friday,12,3,0
478,New York,Snow,2,Tuesday,21,1,0
479,Phoenix,Rain,1,Tuesday,7,2,0
480,Phoenix,Thunderstorm,2,Tuesday,20,1,0
481,New York,Snow,2,Saturday,20,4,0
482,Houston,Snow,1,Monday,7,2,0
483,Los Angeles,Snow,1,Wednesday,0,3,0
484,Phoenix,Rain,2,Tuesday,5,1,0
485,New York,Fog,2,Tuesday,12,1,0
486,Chicago,Thunderstorm,1,Monday,8,5,0
487,New York,Snow,2,Monday,5,2,0
488,Chicago,Fog,2,Friday,14,2,0
489,Houston,Thunderstorm,3,Thursday,22,1,0
490,Los Angeles,Thunderstorm,1,Tuesday,15,2,0
491,New York,Snow,3,Thursday,3,2,0
492,Phoenix,Snow,2,Sunday,16,1,0
493,Houston,Rain,1,Monday,8,3,0
494,New York,Fog,2,Monday,11,1,0
495,Phoenix,Fog,2,Friday,21,3,0
496,New York,Snow,4,Wednesday,18,1,0
497,Chicago,Thunderstorm,1,Saturday,19,2,0
498,New York,Snow,2,Saturday,11,0,0
499,New York,Thunderstorm,1,Saturday,21,2,0
500,New York,Thunderstorm,4,Monday,5,4,0
501,Houston,Snow,1,Tuesday,11,0,0
502,New York,Clear,4,Friday,8,1,0
503,Phoenix,Fog,4,Wednesday,19,3,0
504,Chicago,Thunderstorm,1,Sunday,4,1,0
505,Chicago,Thunderstorm,3,Saturday,20,4,0
506,New York,Clear,4,Friday,2,0,0
507,Houston,Rain,1,Monday,1,2,1
508,Houston,Clear,2,Saturday,7,2,0
509,Phoenix,Clear,2,Wednesday,9,1,0
510,New York,Thunderstorm,1,Sunday,14,1,0
511,Chicago,Fog,1,Thursday,8,4,0
512,Houston,Clear,1,Sunday,9,3,0
513,New York,Rain,1,Wednesday,10,4,0
514,Houston,Snow,2,Sunday,8,1,0
515,Houston,Clear,1,Tuesday,13,3,0
516,Chicago,Clear,3,Saturday,4,2,1
517,Los Angeles,Rain,3,Saturday,8,1,0
518,Phoenix,Fog,1,Thursday,3,2,0
519,Phoenix,Clear,2,Sunday,1,0,0
520,Chicago,Clear,2,Thursday,18,2,0
521,Houston,Fog,4,Sunday,0,3,0
522,New York,Rain,1,Saturday,20,2,0
523,Houston,Clear,1,Tuesday,0,3,0
524,Chicago,Fog,4,Sunday,11,0,0
525,Phoenix,Clear,4,Thursday,10,3,0
526,Houston,Snow,3,Monday,0,2,0
527,Phoenix,Thunderstorm,3,Saturday,13,2,0
528,New York,Snow,1,Wednesday,10,3,0
529,Phoenix,Clear,2,Wednesday,6,1,0
530,Phoenix,Rain,1,Tuesday,1,6,0
531,Los Angeles,Thunderstorm,1,Monday,14,0,0
532,Los Angeles,Snow,3,Thursday,7,2,0
533,Los Angeles,Fog,1,Sunday,21,2,0
534,Phoenix,Rain,2,Saturday,19,1,0
535,Chicago,Snow,4,Wednesday,14,1,0
536,Phoenix,Fog,1,Wednesday,7,1,0
537,Chicago,Clear,4,Wednesday,9,3,0
538,Chicago,Fog,4,Wednesday,18,0,0
539,Los Angeles,Snow,2,Friday,2,5,0
540,Houston,Snow,1,Tuesday,19,0,0
541,New York,Clear,1,Thursday,13,2,0
542,Los Angeles,Fog,2,Saturday,8,1,0
543,Los Angeles,Fog,1,Saturday,8,0,0
544,Houston,Clear,1,Saturday,20,3,0
545,New York,Fog,4,Thursday,5,1,0
546,Phoenix,Clear,1,Tuesday,7,1,0
547,Phoenix,Rain,3,Monday,10,2,0
548,Los Angeles,Snow,1,Sunday,7,2,1
549,New York,Rain,2,Sunday,11,1,0
550,Los Angeles,Thunderstorm,4,Tuesday,9,2,0
551,Chicago,Thunderstorm,1,Wednesday,22,3,0
552,Los Angeles,Thunderstorm,1,Sunday,3,0,0
553,Los Angeles,Clear,2,Wednesday,15,2,0
554,Phoenix,Fog,3,Tuesday,19,2,0
555,Phoenix,Rain,2,Tuesday,5,1,0
556,Phoenix,Rain,1,Thursday,8,1,0
557,Chicago,Rain,1,Thursday,22,1,0
558,Phoenix,Rain,4,Friday,4,2,0
559,New York,Thunderstorm,4,Saturday,20,3,0
560,Houston,Rain,2,Friday,23,0,0
561,New York,Fog,3,Saturday,5,2,0
562,New York,Thunderstorm,2,Wednesday,16,4,0
